horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:32:41.475388873,0.25,92123,2111831,1337208,645704,33775950,7539186,106666,3.459,3083901,1658162,15.44
12:32:43.761287105,0.25,94481,2359886,20389563,5353483,67649724,13946007,272259,4.137,6581778,2908182,17.12
12:32:46.043768870,0.25,179843,4321017,1433201,697221,34050455,7305429,104198,3.443,3026357,1575714,11.03
12:32:48.323123619,0.25,102856,2394602,2169799,1034469,36548668,8339293,114767,3.381,3394769,1823624,12.04
12:32:50.625843026,0.25,4929823,83031481,5041685,2374851,38171557,8691566,125113,3.508,3566587,1899399,10.20
12:32:52.963635172,0.25,94158,2267152,1329225,658167,51695194,10987111,143670,3.024,4751614,2441289,1.42
12:32:55.245873814,0.25,94451,2320943,1370280,673360,46428935,10649611,166808,3.637,4585927,2289825,4.54
12:32:57.514019230,0.25,104672,2425948,1168806,563674,35982293,8383495,118896,3.472,3424737,1881520,10.59
12:32:59.820291723,0.25,85035,2074462,1252628,598142,36082139,8083377,116097,3.489,3327233,1791959,11.89
12:33:02.091837938,0.25,101466,2356808,1201926,596337,68446630,13735074,274975,4.236,6491777,2830197,12.55
12:33:04.391761964,0.25,140846,4615602,4009365,1510156,61458890,12253925,147047,3.009,4886491,2431109,13.10
12:33:06.675756267,0.25,239974,4717409,1294916,600390,36153857,8500738,120994,3.483,3473596,1896212,7.49
12:33:08.973995570,0.25,96838,2343500,1301179,622826,37010590,7856974,113602,3.494,3250986,1728409,1.91
12:33:11.504795635,0.25,438619,9333033,2475097,1177772,32839819,7556861,103411,3.339,3097226,1700416,6.99
12:33:13.849381595,0.25,90681,2160831,7446594,2221391,37965599,8222500,119694,3.528,3392415,1813155,7.13
12:33:16.144493181,0.25,205983,5050568,1219047,583757,72070687,14123714,283991,4.235,6706117,2937983,11.65
12:33:18.449147414,0.25,89093,2196471,2280741,1141096,35426821,7895115,110558,3.427,3226195,1744482,5.13
12:33:20.730814785,0.25,100897,2373053,1859738,717285,39151246,8791146,131322,3.617,3630468,1901649,11.51
12:33:23.032558702,0.25,238270,4950058,1269998,626894,39643607,9204382,121744,3.193,3812930,2027888,11.42
12:33:25.338002641,0.25,85863,2123481,1293966,612392,65894849,14634666,230078,3.612,6368957,3040141,9.58
12:33:27.916101028,0.25,94163,2327898,1251850,605463,36206572,8315981,114905,3.379,3400298,1865237,12.84
12:33:30.233670005,0.25,339034,15337512,39657894,17305729,1456786711,200578489,4749103,5.191,91492163,38494161,9.09
12:33:32.573141991,0.25,89882,2209033,3161247,1282233,40472786,8510616,121934,3.482,3502267,1881880,10.98
12:33:34.867677061,0.25,111658,2743412,1127980,527112,36584386,8481325,125703,3.610,3482223,1864786,8.40
12:33:37.156648302,0.25,219976,4255043,1323370,648765,39731108,8906953,130685,3.606,3624342,1765287,12.60
12:33:39.437244947,0.25,97356,2311855,1171511,576642,33172072,7775314,109387,3.452,3169234,1748524,15.52
12:33:41.773936956,0.25,97117,2250321,1322170,643754,34863940,7812039,111607,3.492,3196379,1729771,3.08
12:33:44.063512422,0.25,182113,4872540,1177782,558595,36671611,8386158,121438,3.499,3471068,1852970,4.64
12:33:46.311210888,0.25,86350,2113035,1128162,536821,42554544,8943993,138205,3.739,3696465,1943962,12.78
12:33:48.619866952,0.25,98630,2329593,1256051,603020,53355178,12835779,174557,3.258,5357966,2497233,5.38
12:33:50.965546323,0.25,4622713,76381280,5950519,2712978,42742218,9649035,152658,3.817,3999007,2057578,10.42
12:33:53.283684805,0.25,231945,4433054,1215424,585624,37743697,8417502,118120,3.422,3451449,1861254,12.04
12:33:55.600184377,0.25,166850,5620337,6494793,1812261,38406402,8755859,131154,3.599,3643784,1930407,11.85
12:33:57.868791032,0.25,95535,2240006,1371921,669617,34260034,7542101,106245,3.408,3117940,1670625,6.92
12:34:00.154724489,0.25,106859,2455987,1205993,588154,38249933,8854633,129064,3.522,3664887,1941059,9.21
12:34:02.452620956,0.25,98479,2393743,1213811,587349,38121247,8664969,123455,3.503,3524276,1892780,12.20
12:34:04.756400584,0.25,83697,2072671,1408861,687009,34091994,7530099,109850,3.532,3109908,1611179,2.39
12:34:07.088396324,0.25,94756,2277438,2054563,1018516,36800600,8433361,122180,3.540,3451261,1860088,5.48
12:34:09.359782265,0.25,214560,4016253,1302601,612371,34256875,8068781,113620,3.435,3308138,1807172,0.19
12:34:11.925454897,0.25,695417,17696643,1424163,701255,32765097,7377020,99662,3.322,2999924,1613145,2.98
12:34:14.223946318,0.25,388913,12807596,1426750,624031,193923718,37149489,368677,2.543,14497777,7062745,1.04
12:34:16.751353904,0.25,83253,1972975,1495835,703934,65719897,13867369,271978,4.269,6371638,2826575,6.18
12:34:19.057148610,0.25,94333,2242426,2384926,1166189,34953981,8045937,113161,3.441,3288729,1770072,11.61
12:34:21.371866458,0.25,511311,18408906,1140456,539043,39042180,8990168,130456,3.527,3698258,2000275,11.49
12:34:23.658518448,0.25,85060,2054082,1348570,654475,58634164,11574984,151158,3.182,4750203,2372616,13.10
12:34:25.977798499,0.25,174968,4065796,1335539,650879,46910574,9644985,135530,3.430,3950931,2048127,14.11
12:34:28.290624257,0.25,100266,2357280,1154612,558897,38535770,8739308,130115,3.658,3556853,1913031,7.71
12:34:30.595507442,0.25,163473,3419850,53770469,23087541,456918490,69136459,1495674,4.897,30545302,14304174,3.51
12:34:32.968050564,0.25,112352,2623612,1180887,562585,67929340,13536784,270775,4.222,6413912,2869116,6.43
12:34:35.293978761,0.25,99982,2331500,2155175,1058674,64977625,14394047,211290,3.428,6164007,2956853,13.11
12:34:37.601677896,0.25,224554,4171977,1325878,628032,33839029,7388077,105459,3.481,3029915,1637305,11.61
12:34:39.921460574,0.25,100316,2368730,1103718,519084,37895568,8683106,133012,3.691,3603526,1913017,12.15
12:34:42.242174277,0.25,97395,2230627,1182372,590307,40848650,8890291,132111,3.629,3640800,1930969,3.23
12:34:44.574877377,0.25,109910,2473315,1364094,616427,37167826,8471240,123210,3.548,3472818,1873383,8.48
12:34:47.074957302,0.25,202560,7033575,6191587,1742134,76947264,16417309,296668,3.771,7866699,3480723,9.44
12:34:49.360797067,0.25,97900,2337232,2107580,1049210,39583973,9123763,132267,3.548,3727529,2014884,10.16
12:34:51.871628476,0.25,301364,5819394,5063976,1585539,47532089,9567997,131609,3.368,3907659,2028651,15.07
12:34:54.172403159,0.25,414458,12489712,1150633,566008,39607855,8830794,133385,3.668,3636857,1914860,9.75
12:34:56.490123055,0.25,104465,2429634,1353263,609047,37758232,8691689,128069,3.597,3560726,1925474,7.57
12:34:58.810192861,0.25,98087,2279679,1209996,614100,33537372,7849130,109093,3.425,3184941,1747316,12.12
