horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
16:01:48.670536445,108296,2373774,1164513,581047,39729697,8803989,140922,3.866,3644764,1932944,49.89,8.40,0.64,6.17
16:01:51.013799954,122068,2760513,1216114,600052,37186582,8210988,131507,3.849,3416597,1784442,21.38,2.28,0.38,2.39
16:01:53.355501344,115547,2538267,1105234,521772,41872604,9239220,146539,3.844,3812017,2028007,31.45,7.36,0.63,15.03
16:01:55.681647651,223320,4520850,38325493,15567481,838446796,145733499,3600491,5.607,64210172,31336398,3.66,0.47,0.06,0.37
16:01:58.255601435,105474,2433857,1232355,579422,39340005,8712967,139005,3.831,3628781,1917553,26.58,10.24,1.05,13.59
16:02:00.589116105,113213,2509661,1229579,576638,38455991,8639275,139302,3.908,3564177,1902448,35.90,10.87,0.44,10.63
16:02:02.920598967,111363,2460142,1139349,551578,38841641,8817197,134937,3.721,3626448,1928799,41.74,4.65,0.47,7.61
16:02:05.263355004,112282,2471806,1153773,545394,40096974,9139135,139350,3.699,3766924,2063854,57.86,7.56,0.09,5.76
16:02:07.606854982,119311,2563021,1297690,598142,39410685,8750974,144148,3.961,3639298,1878549,36.36,12.62,0.33,11.98
16:02:09.932819518,403344,10584929,1409230,710646,89671125,16078346,315895,4.095,7713973,3385547,28.83,7.75,0.43,12.11
16:02:12.280264702,108764,2364490,2207216,1103683,36051489,7948650,116602,3.577,3259696,1766371,30.77,12.51,0.80,11.46
16:02:14.619150420,234376,4329750,1488280,679756,32097574,7445063,110808,3.622,3059259,1635493,28.79,10.74,0.38,13.06
16:02:16.976414939,2370151,45980004,39002063,17717022,1242571189,193739411,4416902,5.191,85095332,39182929,7.55,0.59,0.03,0.45
16:02:19.521748923,140995,3546134,8042916,2502855,47770006,10758944,157371,3.562,4418168,2295522,37.68,10.56,0.43,7.42
