horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
15:46:16.281755230,102806,2228055,1391687,664526,40909268,8114247,140033,4.145,3378008,1751571,30.18,10.82,1.47,12.77
15:46:18.727647225,103215,2306514,1347809,665638,38099816,8384792,131383,3.806,3451875,1877203,53.25,7.50,1.80,7.27
15:46:21.192079243,97305,2092326,1304061,642195,39275134,8609669,139046,3.907,3559184,1912280,33.28,13.19,0.66,11.84
15:46:23.654572809,108892,2238151,2294480,1165021,37086218,8070324,127700,3.833,3332019,1810964,33.60,9.80,2.07,12.29
15:46:26.129400511,592648,16495723,1183826,588531,39736821,8652609,149508,4.163,3591078,1886068,33.94,12.33,1.85,8.49
15:46:28.605977134,102603,2265738,1381810,699805,36994967,8076905,123039,3.742,3288013,1795275,31.28,11.31,2.80,9.06
15:46:31.088342410,133208,2778343,1353203,679666,366467499,79876861,1643671,4.545,36167242,17311825,2.62,0.61,0.19,0.49
15:46:34.019256522,106338,2252480,1371199,687020,34069532,7607282,119551,3.808,3139143,1696583,35.13,6.48,2.08,11.05
15:46:36.488547948,109793,2290261,1219068,609564,34689268,7793688,125460,3.880,3233260,1731397,36.35,10.32,1.62,13.58
15:46:38.929039525,127237,2546334,1413257,690253,35148109,8293384,128182,3.819,3356428,1802892,53.25,5.17,1.22,7.32
15:46:41.415687614,409500,14132242,1231068,594245,43641016,9150843,164957,4.262,3870590,1967927,27.48,12.33,2.32,10.46
15:46:43.852900443,119428,2480080,2036389,1020879,43699845,10500324,157602,3.530,4464340,2333150,29.98,2.41,1.82,9.42
15:46:46.326212360,290024,5164160,1171186,556823,41077201,9429058,151427,3.885,3898065,2083341,30.04,13.11,1.76,12.45
15:46:48.763590982,116904,2392553,1235837,613212,43399880,9190417,153790,4.054,3793732,2000611,28.20,14.55,1.40,14.54
15:46:51.216065061,116355,2395249,11382543,3036489,292604099,68716569,1406800,4.532,31043397,14735735,3.00,0.83,0.32,0.64
15:46:53.859377010,126477,2627225,1201111,599495,41680910,9014633,147340,3.930,3749231,1959568,31.05,10.41,2.76,13.03
15:46:56.303188808,257869,4609909,1287493,554248,44895961,8910995,152936,4.132,3701284,1958925,29.06,10.29,1.80,16.50
15:46:58.765650223,101005,2159793,1317048,644955,38003505,8433581,135903,3.898,3486554,1850716,29.27,13.28,1.51,8.64
15:47:01.216721032,104016,2231970,1443773,683133,273298677,44855173,492880,2.795,17636115,8097541,59.78,3.69,0.66,8.30
15:47:03.668336201,103817,2170362,1414091,683557,76450881,14650883,284704,4.127,6898136,3139052,29.85,12.52,1.89,14.49
15:47:06.126459194,361475,10581955,2413558,1224370,34682938,7785401,119983,3.736,3211712,1754424,33.46,9.25,1.40,9.19
15:47:08.616407561,257983,4723431,1176248,572200,40687665,9124163,149163,3.986,3742032,1953833,29.54,10.94,3.08,9.82
15:47:11.069462824,402220,5709283,1696927,801033,79204876,17150071,378987,5.146,7365318,3357091,20.10,0.38,0.19,0.25
15:47:13.831334464,2430176,47500401,25539310,12638893,820916762,120929939,2706332,5.258,51474214,27079760,21.26,12.91,1.65,10.14
15:47:16.297331694,100046,2490091,3930453,1502698,39143684,8299051,122319,3.610,3388393,1850864,38.71,0.87,16.48,0.92
15:47:18.780619166,114641,2314195,1179705,560016,46217575,9197604,155097,4.076,3804909,2016090,24.99,11.65,2.55,10.76
15:47:21.245275977,98286,2111164,1498184,719654,37717373,8733567,134367,3.787,3547859,1958800,50.11,4.58,0.36,4.76
15:47:23.715477672,119734,2819994,1301578,652826,44532457,10811152,174628,3.853,4532776,2365419,32.63,11.15,1.92,12.97
15:47:26.155738047,414189,11920443,1439901,708453,34391469,7948990,121141,3.743,3236739,1780472,11.06,2.16,0.32,1.68
15:47:28.592293266,203633,3864005,1387665,671591,45184286,8857541,145393,3.979,3654046,1947046,32.53,11.56,2.04,10.85
15:47:31.021970795,108979,2310278,1206680,585293,42976544,9164597,149779,3.965,3777766,2000624,8.83,0.73,0.80,0.70
15:47:33.712897023,113779,2328491,1332658,664277,38537480,8702076,134402,3.765,3569799,1941838,31.32,10.15,2.09,7.85
15:47:36.168710537,393855,11109012,1758108,817950,71677885,13564999,275222,4.209,6539573,2850907,19.88,5.83,1.17,5.66
15:47:38.614454523,173288,4513510,1840519,797376,35472473,8205513,124439,3.725,3340225,1827375,31.66,6.78,0.62,11.21
15:47:41.071122181,121611,2566638,1170534,579051,41303578,8995581,149739,4.020,3724424,1943679,35.73,11.06,1.36,9.08
15:47:43.533565170,126579,2586992,1299133,620571,40554541,8737757,142614,3.930,3628592,1937058,51.52,3.21,1.22,7.79
15:47:45.994589249,309885,8643361,1216508,585008,40555784,8823876,147911,4.064,3639169,1939796,31.40,13.45,2.70,10.30
15:47:48.458929521,110980,2351049,2323606,1171278,38480629,8199853,132983,3.897,3412019,1819910,32.67,10.86,2.80,8.88
15:47:50.886964683,259967,4691151,1138162,531021,42085352,9585941,157672,3.980,3961737,2070983,9.44,1.45,4.91,1.93
15:47:53.573955976,144956,3022777,1369283,688410,33566681,7703694,118467,3.746,3162135,1727743,52.69,3.68,1.25,5.19
15:47:56.017302266,465524,13706604,1338046,659736,37127126,7995425,128609,3.884,3310943,1707955,29.83,9.25,1.54,14.83
15:47:58.445354844,107989,2334867,1415975,710165,31303671,7076682,116170,3.950,2941029,1555989,32.45,8.93,1.73,10.14
15:48:00.931572309,238697,4237842,1534519,668497,37096819,8294185,129517,3.794,3413568,1847849,31.14,10.82,0.92,11.37
15:48:03.409623102,106821,2277263,1254498,585227,40505703,8770269,149606,4.070,3676160,1932956,29.16,11.86,2.45,14.94
15:48:05.899201483,112977,2396130,3170634,1254622,37904253,8122533,131050,3.887,3371439,1784402,29.03,12.71,2.00,10.40
15:48:08.377946007,319843,8780371,8706645,2497369,77097745,13320720,277951,4.379,6347640,2795370,30.51,12.44,1.58,8.60
15:48:10.849546207,131804,2596233,3531678,2010681,56266807,11910066,234090,4.626,5060710,2600891,22.07,14.44,1.90,15.68
15:48:13.486674788,3055800,57127403,38291222,16812237,1089836848,179225946,4051774,5.256,77089557,37493730,12.80,0.51,1.59,0.35
15:48:16.127279793,538004,15443194,1656688,737239,39417720,8869765,148225,4.047,3662540,1953476,32.49,10.87,1.71,8.45
15:48:18.611042274,110783,2492243,1467278,708234,57167700,10256820,183905,4.014,4582124,2229608,29.87,12.74,3.39,11.08
15:48:21.091688269,265369,4679147,1294789,652763,35468154,7720678,126387,3.990,3167725,1692429,29.14,7.80,2.92,15.74
15:48:23.550425734,177014,4527672,10709621,2836798,39423688,8917909,144307,3.922,3679391,1993619,29.99,4.91,3.34,13.34
15:48:26.009913249,373089,10487204,1677459,725126,42191909,8903133,150631,4.092,3681279,1949315,29.79,10.87,2.85,11.12
15:48:28.474592028,110953,2379699,1238470,603688,76010393,13544046,292482,4.519,6472028,2833083,33.95,9.46,1.05,9.97
15:48:30.946132104,112634,2329516,2213312,1131188,37785127,8424954,134329,3.883,3459082,1873204,28.65,11.09,3.01,10.58
15:48:33.542926336,1873448,32668088,1323566,626521,46552896,10739102,169612,3.768,4501320,2387916,32.50,4.68,1.86,16.12
15:48:36.024718776,388149,10926228,1350851,668239,43615889,8292404,140618,4.075,3451126,1812765,56.08,6.17,1.08,6.82
15:48:38.514770357,106219,2246139,1523307,719216,142987238,26384205,309251,2.954,10469912,5137628,27.33,13.85,2.45,12.87
15:48:41.018662349,129451,2812348,2464548,1205766,42947927,9078392,149785,4.017,3728775,1998033,32.02,12.60,2.00,13.48
15:48:43.485922125,254880,4901419,1310474,644635,35417707,7983425,126766,3.819,3319194,1771196,30.70,9.36,1.98,11.56
15:48:45.975280226,193079,5111526,1506635,711384,37019862,8297092,130349,3.845,3390273,1824892,50.50,9.47,,9.60
15:48:48.424737323,172353,3507515,1210236,560357,38130145,8498116,145950,4.132,3531949,1898587,7.17,2.32,0.51,1.99
15:48:50.912916904,108501,2317663,1158506,568958,74467628,14746942,303073,4.382,6916728,3104926,32.21,10.87,1.24,9.78
15:48:53.469692386,2657139,43236293,24057721,12302135,811747988,145437922,3609655,5.726,63043378,31707389,38.60,7.84,1.93,6.11
15:48:56.135726535,381674,10845884,1431302,710688,36648611,8306074,128397,3.787,3390711,1813496,50.26,8.29,1.44,6.69
15:48:58.616229499,144615,2861083,1206782,580121,44283806,9323337,155145,4.062,3819277,2052762,9.40,4.80,0.88,4.28
15:49:01.071454306,127551,2649881,1227945,613667,41639884,9237970,145516,3.860,3769839,2048353,29.76,10.89,3.76,11.86
15:49:03.552027692,251849,4547743,1425749,677634,42281369,8499464,145514,4.110,3540472,1874638,31.82,9.88,1.92,9.19
15:49:06.033760545,442808,12841205,1763468,797771,36481673,7696262,128878,4.018,3207562,1680527,37.77,8.31,1.65,10.33
15:49:08.534905245,175415,3415423,1244772,595246,40362775,8681258,144348,3.967,3638667,1925828,31.49,12.37,2.19,10.39
15:49:11.024808511,249722,3706299,1722685,789264,122267181,22103480,577022,5.688,10145381,4497675,37.43,10.36,2.16,10.80
