hora,cpu
17:57:50.530535497,5.5
17:57:51.590877664,4
17:57:52.648534274,9.2
17:57:53.700391129,8
17:57:54.779511824,3.6
17:57:55.869743335,3.6
17:57:56.949786367,3
17:57:58.015633187,2.7
17:57:59.093083059,4.8
17:58:00.193914608,3.3
17:58:01.251814706,4.2
17:58:02.331207326,7.5
17:58:03.430096595,2.1
17:58:04.537422426,39.1
17:58:05.628258881,50.2
17:58:06.756625049,42.1
17:58:07.874111493,36.5
17:58:08.982879346,38.1
17:58:10.056009193,6
17:58:11.107250667,3.6
17:58:12.205175179,4.2
17:58:13.269839490,3.9
17:58:14.355170700,3.6
17:58:15.438575680,3.6
17:58:16.495062093,3.9
17:58:17.574160283,2.4
17:58:18.658047055,2.4
17:58:19.718992159,4.2
17:58:20.803268009,3.9
17:58:21.882178349,3.6
17:58:22.950277819,5.9
17:58:24.029515257,2.4
17:58:25.109498284,12.5
17:58:26.168324630,49.2
17:58:27.256916208,50.2
17:58:28.312321307,52.2
17:58:29.424226752,47.1
17:58:30.502181539,8.4
17:58:31.565156010,4.4
17:58:32.641653647,5.7
17:58:33.721229104,3.9
17:58:34.802055736,3.3
17:58:35.863754742,5.4
17:58:36.950837798,2.1
17:58:38.033332600,5.4
17:58:39.094581927,2.7
17:58:40.173991634,2.7
17:58:41.255206118,5.7
17:58:42.320010061,7.6
17:58:43.372747551,4.5
17:58:44.420660538,3.3
17:58:45.522465147,50.8
17:58:46.615697321,54.1
17:58:47.765259588,50.3
17:58:48.935103404,48.9
17:58:50.036341351,49.5
17:58:51.132585779,22.5
17:58:52.208462885,11.7
17:58:53.297987731,6
17:58:54.351575097,5.4
17:58:55.433241335,5.4
17:58:56.547086094,6.6
17:58:57.654681533,10.2
17:58:58.765744433,6.6
17:58:59.850164597,3.6
17:59:00.928810402,3.3
17:59:02.014683940,3.3
17:59:03.083406936,2.7
17:59:04.165999496,2.7
17:59:05.223950144,1.8
17:59:06.302678021,27.2
17:59:07.376784424,41.2
17:59:08.481609258,47.7
17:59:09.585093401,41.3
17:59:10.689677672,50.2
17:59:11.793099327,6.4
17:59:12.850086846,3.9
17:59:13.934981080,3
17:59:14.999399104,3.6
17:59:16.083541155,1.8
17:59:17.169909290,2.7
17:59:18.229915501,1.2
17:59:19.315461351,3.3
17:59:20.400500640,3.9
17:59:21.460695582,3
17:59:22.541246173,4.2
17:59:23.622054121,3
