hora,e_core,e_ram,cpu,mem_used
05:04:52.227710989,0.09,0.29,1,2431228
05:04:53.575586806,0.11,0.29,0,2430852
05:04:54.930668762,0.18,0.30,0,2427792
05:04:56.287709282,0.07,0.29,0,2429160
05:04:57.633844466,0.06,0.29,0,2428880
05:04:58.984857666,0.09,0.29,0,2428844
05:05:00.332878554,0.11,0.33,4,2427424
05:05:01.684233716,0.15,0.32,2,2426732
05:05:03.031934966,0.20,0.30,2,2425708
05:05:04.389462043,0.22,0.32,2,2421568
05:05:05.737390831,0.16,0.31,1,2420232
05:05:07.081919366,0.13,0.32,2,2419188
05:05:08.427424905,0.24,0.30,2,2418716
05:05:09.763658377,0.12,0.31,0,2417036
05:05:11.125349032,0.11,0.29,0,2416968
05:05:12.480270852,0.14,0.29,0,2417668
05:05:13.819951306,0.10,0.29,0,2417668
05:05:15.175896211,0.09,0.29,0,2415064
05:05:16.523961204,0.08,0.29,0,2414508
05:05:17.870653338,0.13,0.29,0,2414608
05:05:19.220861096,0.09,0.29,0,2414292
05:05:20.577683095,0.10,0.29,0,2413968
05:05:21.937698224,0.19,0.32,3,2413764
05:05:23.288343913,0.20,0.34,3,2412472
05:05:24.636701212,0.48,0.33,2,2408064
05:05:25.977641917,0.20,0.34,0,2406292
05:05:27.318087485,0.16,0.31,0,2405520
05:05:28.674833273,0.27,0.31,1,2404776
05:05:30.015382431,0.12,0.33,1,2403552
05:05:31.364210393,0.13,0.30,1,2402452
05:05:32.718038354,0.16,0.31,1,2401668
05:05:34.062460604,0.10,0.29,0,2402196
05:05:35.411992722,0.07,0.29,0,2398936
05:05:36.774580200,0.12,0.30,0,2399164
05:05:38.115586530,0.07,0.30,0,2399196
05:05:39.476083653,0.10,0.29,0,2398952
05:05:40.825602965,0.16,0.30,0,2398832
05:05:42.171919219,0.06,0.29,1,2398748
05:05:43.523107076,0.20,0.32,1,2396876
05:05:44.855743363,0.49,0.32,1,2390904
05:05:46.185762133,0.59,0.29,1,2387228
