horaEjecucion,cpu,mem_used
09:19:28.607452242,18.9,842296
09:19:30.119392208,20.5,841752
09:19:31.602311795,22.1,844500
09:19:33.124990302,4.1,847072
09:19:34.659919528,2.4,847588
09:19:36.170384344,3.4,847560
09:19:37.629336078,2.8,847808
09:19:39.146876639,2.7,847732
09:19:40.674225902,1.7,847672
09:19:42.210905118,3.4,847716
09:19:43.780691201,2.4,847600
09:19:45.309960609,25.3,841812
09:19:46.826601537,22.3,841296
09:19:48.344460062,18.3,841696
09:19:49.883344265,18.8,842692
09:19:51.337717112,22.2,842876
09:19:52.792066053,7.6,845824
09:19:54.290075247,2.4,846480
09:19:55.803320355,1.7,846752
09:19:57.332456427,1.4,846820
09:19:58.829908123,1,846760
09:20:00.340017516,1.3,846848
09:20:01.836523799,1,846768
09:20:03.348376933,1,846700
09:20:04.886806550,1,846960
09:20:06.424808357,26.4,842548
09:20:07.967280453,17.2,840264
09:20:09.597191182,13.7,841444
09:20:11.106857970,21.2,840472
09:20:12.629747245,10.6,844100
09:20:14.185931460,1.7,846156
09:20:15.713703991,1,846296
09:20:17.253217714,1.4,846592
09:20:18.756569480,1.4,846468
09:20:20.222771428,1,846608
09:20:21.736880639,1,846492
09:20:23.265312540,1,846600
09:20:24.827215943,0.6,846500
09:20:26.317603134,1,846280
09:20:27.813171342,25.8,839892
09:20:29.353413860,22.2,840640
09:20:30.859631181,19.4,841040
09:20:32.325097556,17.8,840480
09:20:33.827764842,10.7,844300
09:20:35.386007739,5.4,846244
09:20:36.848868969,3.7,846584
09:20:38.359217206,1.7,846532
09:20:39.892535172,3.8,846540
09:20:41.396263336,2.4,846436
09:20:42.909027600,2.7,846524
09:20:44.476279929,2.4,846484
09:20:45.942475933,3.4,846540
09:20:47.401872960,2.4,845088
09:20:48.913973476,22.4,839320
09:20:50.397738871,18.3,840440
09:20:51.930130797,17.4,839984
09:20:53.460605597,22.4,839892
09:20:54.921456052,11.1,843540
09:20:56.419938925,2.4,844712
09:20:57.887779241,2,845264
09:20:59.400403814,1,845272
09:21:00.877347522,2.4,845708
09:21:02.328574429,1,845800
09:21:03.841423063,1.3,845832
09:21:05.398428510,1,845948
09:21:06.908080440,1,845708
09:21:08.423381248,23.6,840716
09:21:09.960110440,15.2,839048
09:21:11.471297309,21.8,839660
09:21:12.925359147,12.9,838568
09:21:14.477048785,23.8,842000
09:21:15.989363043,5.6,845196
09:21:17.503213856,1,845576
09:21:18.996773051,1,845452
09:21:20.452320140,1,845660
09:21:21.966641835,1,845452
09:21:23.511096819,1,845544
09:21:25.051569999,1.4,845584
09:21:26.613807915,1,845588
09:21:28.106835026,1,845620
09:21:29.572391335,26.8,838876
09:21:31.026015671,21.5,838776
09:21:32.521654227,23.4,840372
09:21:34.020869952,15.1,839004
09:21:35.560185687,8.8,842816
09:21:37.088089551,3.8,844532
09:21:38.543337523,3.4,844960
09:21:40.058909521,2.4,844868
09:21:41.586361615,3.7,845232
09:21:43.093367873,2.4,844836
09:21:44.542917122,2,844792
09:21:45.996532809,2.7,844908
09:21:47.515968952,3,844712
09:21:49.083874491,2.4,841856
09:21:50.646868751,19.8,838524
09:21:52.210806913,19.7,839228
09:21:53.699007688,24,837760
09:21:55.226951079,16.1,839080
09:21:56.713813735,7.9,842196
09:21:58.181755963,7.6,844036
09:21:59.696668532,1,844364
09:22:01.219218354,1,844372
09:22:02.774637650,1.3,844512
09:22:04.284852168,1,844496
09:22:05.794202679,1,844444
09:22:07.261651471,1,844544
09:22:08.721472122,1,844748
09:22:10.230000553,4.7,838552
09:22:11.779418418,18.2,838380
09:22:13.291023813,19.3,839172
09:22:14.777788496,13.2,837648
09:22:16.282583872,16.6,838912
09:22:17.780465115,9.5,842568
09:22:19.273470548,2.1,843956
09:22:20.741138919,1,844028
09:22:22.251108226,2.1,844124
09:22:23.750456908,1,844100
09:22:25.213560821,1,844160
09:22:26.724121218,1,844152
09:22:28.253186315,1.3,844388
09:22:29.808335397,1,844208
09:22:31.349344809,12.7,837548
09:22:32.821095970,18.4,838524
09:22:34.315312592,22.3,837880
09:22:35.833388366,25.5,837340
09:22:37.335690416,20.2,838516
09:22:38.773807627,11.8,841692
09:22:40.243205933,7.9,843312
09:22:41.758269326,2.7,843540
09:22:43.240083768,2.4,843568
09:22:44.688009367,3.1,843592
09:22:46.154135292,1.7,843756
09:22:47.675782088,3,843572
09:22:49.202345734,3.4,843668
09:22:50.675130428,2.1,843312
09:22:52.152908221,21.3,836356
09:22:53.721683325,19.6,837920
09:22:55.253843661,17.7,836820
09:22:56.847825254,18.2,837572
09:22:58.361283390,7.2,839056
09:22:59.841707211,4.1,841252
09:23:01.311760874,2.4,842080
09:23:02.824704429,1,842236
09:23:04.365682741,1.3,842156
09:23:05.926821785,1,842404
09:23:07.417901750,1.4,842304
09:23:08.932677534,1.4,842376
09:23:10.427275293,1,842120
09:23:11.939792650,9.9,836036
09:23:13.489497167,15.8,836504
09:23:15.042472344,16.7,837132
09:23:16.512769024,20.9,835772
09:23:17.951296538,16.3,836792
09:23:19.441565671,5.8,839984
09:23:20.952761158,2.1,840980
09:23:22.420762171,1,841028
09:23:23.934302802,1,841728
09:23:25.459867488,1.4,841624
09:23:27.014749112,1,841308
09:23:28.528339273,1,841588
09:23:30.042846096,1,841656
09:23:31.559786761,1.3,841656
09:23:33.060222976,12.2,835580
09:23:34.503716557,19.3,836568
09:23:36.046306990,17.8,835264
09:23:37.586835818,23.7,836000
09:23:39.058919412,16.5,836976
09:23:40.513809497,7.8,839536
09:23:42.002102698,3.5,840600
09:23:43.453576029,3.7,840808
09:23:44.968409566,2.1,841164
09:23:46.447430260,3.1,841184
09:23:47.922884721,2.4,841480
09:23:49.382189887,3.1,841424
09:23:50.897248787,3.4,841340
09:23:52.433069094,1,841688
09:23:53.965311034,14.4,835368
09:23:55.454105896,18.1,836616
09:23:57.031835057,15.8,835056
09:23:58.523375739,15.9,835792
09:24:00.034631271,17.5,836640
09:24:01.491153063,4.2,839540
09:24:02.989742824,2.4,840588
09:24:04.513468189,1,841008
09:24:06.005358243,1,840892
