horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:32:41.286419119,0.25,105750,5708738,8491562,1170389,28394998,12342095,100718,1.796,5607800,1498520,7.46
12:32:43.642736282,0.25,255707,7831880,5604204,585046,28896992,12249231,104809,1.845,5680166,1482912,7.01
12:32:46.058761798,0.25,101656,5623637,5639376,623523,28454483,12545833,117020,2.032,5759570,1515669,7.44
12:32:48.512382071,0.25,93980,5422903,5814910,658142,28197722,11894600,103413,1.862,5552867,1439197,3.24
12:32:50.910505389,0.25,106181,5679961,5306654,531549,54721553,21865468,316183,3.029,10440089,2404780,0.47
12:32:53.732181069,0.25,261666,8272392,5395045,559983,29673773,12357531,112536,1.949,5773771,1493816,8.77
12:32:56.108941170,0.25,103535,5646086,5758278,632649,28012658,11912525,98962,1.804,5485245,1443992,7.32
12:32:58.476606515,0.25,100977,5536691,5537598,588968,28225114,12112898,101124,1.803,5609780,1475421,4.11
12:33:00.856272860,0.25,120328,6193725,5416637,515316,30499930,12715970,115493,1.970,5863447,1527876,7.68
12:33:03.284967382,0.25,104404,5649367,5812160,631890,57149986,18158517,269786,3.174,8500912,2183341,7.49
12:33:05.627175695,0.25,103624,6018650,8714412,1216988,26696189,11952021,86532,1.567,5521077,1455032,7.23
12:33:07.971514885,0.25,263996,8500127,5924009,619020,27659427,12304259,90737,1.601,5668632,1490138,6.74
12:33:10.329269240,0.25,102583,6034617,5593477,551810,45979425,18727118,213673,2.531,8440946,2231784,7.49
12:33:13.006664830,0.25,2852752,70562414,11235484,1807319,89249062,28226718,355572,2.678,13279269,3451442,3.16
12:33:15.613815325,0.25,544473,17628593,10891126,1730000,27151237,11587135,87955,1.639,5367824,1411845,7.75
12:33:18.043558915,0.25,249244,7598840,5758524,628892,26282869,11669030,87333,1.628,5363246,1414413,7.76
12:33:20.396817779,0.25,123180,6028219,5578766,584837,52457365,21378687,253618,2.619,9682854,2566951,7.74
12:33:22.789550367,0.25,134345,6935712,5821592,629727,27365563,11797505,100086,1.838,5446823,1426052,4.44
12:33:25.143026979,0.25,114322,6249267,5470779,561472,28997890,12645250,109518,1.891,5791065,1523614,7.15
12:33:27.512718717,0.25,97488,5434612,5788992,629257,48502835,15855059,241086,3.217,7493844,1901938,6.97
12:33:29.873163668,0.25,582900,24597501,7598450,1033418,28927705,12259210,102932,1.831,5620950,1491307,4.36
12:33:32.233558823,0.25,1120118,27843062,95449334,17631438,652714335,166608179,3278594,4.021,81536263,17753298,7.78
12:33:34.819583973,0.25,90906,5393957,5460743,559696,28213410,11946618,100838,1.847,5459214,1441957,3.94
12:33:37.268717631,0.25,112684,6021167,6136815,699290,28919771,12802966,120872,2.040,5924603,1544571,6.67
12:33:39.641917786,0.25,108903,5680105,17474160,2025023,54639948,17806906,261202,3.115,8385487,2159297,7.81
12:33:41.961342096,0.25,115577,5890322,7529108,1047706,27407273,11922526,97249,1.764,5512648,1437529,7.59
12:33:44.284274492,0.25,248927,7788555,5550328,580378,27492435,11784059,101865,1.864,5464282,1422316,7.27
12:33:46.630422662,0.25,109939,5787748,5685772,624615,27929637,11811203,97097,1.780,5455222,1428599,7.32
12:33:49.034067372,0.25,105285,5759138,5430446,546923,27544151,11669346,88970,1.635,5439930,1410469,4.54
12:33:51.346063293,0.25,104858,5622946,5773084,628352,28078365,12100402,100746,1.821,5532255,1471974,0.45
12:33:54.083170618,0.25,107517,5679225,8814869,1212659,29592057,12627913,105227,1.828,5755499,1530444,7.36
12:33:56.436866380,0.25,252115,8029318,5394484,541098,27172862,12000220,103088,1.837,5612116,1452584,7.38
12:33:58.840678090,0.25,106018,5685831,6105733,653825,27923994,11826513,101125,1.842,5490771,1420319,4.31
12:34:01.276943322,0.25,94399,5434538,5685157,608526,30952464,13245610,114817,1.872,6134802,1588069,7.31
12:34:03.673237291,0.25,90290,5489744,6193389,702234,53251772,17944549,256756,3.034,8462496,2156407,7.34
12:34:06.026267148,0.25,111242,6005496,8265204,1178045,27662378,12239637,92453,1.644,5624868,1487964,7.65
12:34:08.429694234,0.25,251492,8055298,5955287,659523,27405876,12028197,92900,1.672,5557037,1462606,8.10
