horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
12:46:16.703387867,352346,17371826,5816669,570954,30516709,12677355,93056,1.594,5837234,1545762,19.76,8.33,0.35,4.05
12:46:18.930026713,247288,8334221,6103623,617132,29437373,12452261,87024,1.505,5781633,1514411,19.86,8.24,1.41,4.19
12:46:21.183588499,85573,5794049,5760639,555943,30788840,12897089,95578,1.600,5975414,1574979,20.86,7.42,0.32,4.39
12:46:23.401494624,82081,5776861,5740880,556969,30570446,12800923,90807,1.529,5940007,1557830,18.83,6.94,0.28,5.13
12:46:25.607698304,87554,5797853,5985221,611111,30195495,12744640,95724,1.619,5914023,1553762,75.74,2.34,0.35,1.48
12:46:27.844734801,99402,6086151,6080296,619557,46864401,18029313,182550,2.243,8139660,2139997,23.87,7.68,0.59,4.11
12:46:30.125217857,88781,6100249,5976638,621163,29991561,12783933,89968,1.503,5984543,1559675,21.64,7.86,0,4.60
12:46:32.337293379,98251,6269243,5818417,582192,54625337,16987224,239076,2.967,8057925,2040026,20.14,7.69,0.82,4.31
12:46:34.645256455,92171,5914033,8133166,1079190,31063537,13074258,104178,1.716,6070425,1585396,19.72,7.11,0.83,4.27
12:46:36.896642043,221686,9633518,6143242,645047,30518009,13034665,95734,1.595,6002415,1585391,15.78,8.34,0.09,4.08
12:46:39.209308895,90908,5973392,6011728,615899,30675129,13054818,95562,1.586,6024122,1595806,25.44,7.33,0.21,3.82
12:46:41.469630062,91435,6022180,6063941,617452,30364873,13006886,90224,1.514,5958311,1587395,20.91,7.80,0.30,4.37
12:46:43.840299650,87169,5920524,6034352,627477,30744227,13148300,95754,1.586,6038269,1607484,57.86,3.59,0.71,2.22
12:46:46.170196362,101886,6109941,5851488,609895,84728325,42138396,357795,2.048,17473680,5046564,23.17,7.89,0.47,4.37
12:46:48.514690293,180489,7930179,6005270,616175,54186059,17040243,241904,3.016,8019634,2039626,17.57,7.46,0,3.70
12:46:50.783402142,88425,5911702,8246562,1111773,31371078,13333123,97828,1.594,6139030,1622249,20.61,8.23,0.57,3.58
12:46:53.021539190,232882,8058110,6137890,632232,30280380,12911286,90679,1.521,5961836,1573133,9.56,1.18,10.66,0.90
12:46:55.335828055,93176,5937696,5839715,563486,29397200,12583946,91055,1.563,5826426,1539734,17.06,7.48,0,3.92
12:46:57.551347658,93625,5839776,5831699,588383,31497024,13106085,95220,1.585,6008593,1605722,19.70,8.25,0,4.61
12:46:59.858145723,90195,5794521,5843058,622034,29804187,12904377,94999,1.610,5901275,1571110,47.59,4.15,0.78,2.89
12:47:02.162811870,104570,6078544,5898517,606031,28099031,12293015,81907,1.446,5663852,1510058,15.80,8.10,1.28,4.70
12:47:04.385048364,92956,5821661,5828028,593342,29523846,12482459,91547,1.577,5805819,1524484,14.88,7.78,0,4.60
12:47:06.568817491,84299,5850075,11934010,1436144,55328972,17064525,242652,3.013,8053220,2047012,16.84,8.45,1.01,5.10
12:47:08.881064534,93653,6022905,9464673,1324614,30955347,13073268,92854,1.545,6010022,1594311,15.89,7.79,0.78,4.89
12:47:11.166948944,89035,5963360,5978327,602954,29065757,12581844,91733,1.567,5854059,1534154,22.57,6.39,1.02,4.94
12:47:13.379600635,235081,7978424,5949398,591710,31247392,13015680,95893,1.587,6041346,1583760,58.47,3.33,0.32,1.13
12:47:16.091231097,82796,5723454,5833445,608327,75830825,41568169,349574,2.035,17181618,4972017,55.54,3.85,0.38,2.88
12:47:18.343116188,185983,8062026,5841401,572799,32213399,13236658,96389,1.595,6044964,1613696,22.31,8.28,0.24,3.88
12:47:20.533700639,85036,5791187,5901428,583743,30009330,12600839,88236,1.506,5860407,1537417,16.45,7.27,0.52,5.26
12:47:22.745720714,85544,5742581,5911840,592783,53646562,16763503,240244,3.029,7931270,2017128,24.66,8.03,0.22,4.62
12:47:24.943087525,85548,5725641,6211324,636320,30311226,12822896,91586,1.544,5929825,1558458,18.67,8.41,0.67,4.38
12:47:27.190081906,89031,5864244,7940202,1087264,26923239,12207630,89414,1.594,5611056,1497409,48.34,5.25,0.33,2.49
12:47:29.529211723,239675,8054007,5737260,575234,28988304,12296617,85301,1.499,5692306,1503168,9.32,7.46,1.16,5.35
12:47:31.739894768,83471,5727453,5531282,541480,27100293,12310084,86653,1.528,5671917,1498821,22.47,6.71,0,4.19
12:47:34.090920618,86203,5987015,56524686,10799147,38229193,14892782,113999,1.639,6957220,1821036,17.89,6.39,0,5.24
12:47:36.351671855,96130,6067032,17681420,1925649,29272207,12506391,84640,1.454,5820008,1525537,31.07,7.06,0.25,4.41
12:47:38.660698688,90197,6014370,6660166,682598,30991820,13128311,93040,1.534,6065682,1599808,14.91,8.20,0,5.22
12:47:40.926507502,84556,5865130,5829671,563093,50648120,17207557,240299,2.976,8075454,2071790,22.81,7.38,0.04,5.27
12:47:43.140403233,84717,5913867,8027800,1102844,29733455,12801685,86673,1.460,5935025,1565159,19.31,6.61,0.27,4.40
12:47:45.373247622,91909,5955861,6073275,640733,30345738,12876942,89615,1.496,5990070,1570032,63.76,3.53,0.09,2.13
12:47:47.680724979,245823,8553826,5805765,577977,29883876,12460460,90735,1.563,5805231,1521808,23.10,7.45,0,4.20
12:47:49.906574503,91639,5783368,5802057,577099,31032323,12887639,95000,1.602,5929161,1567185,18.57,8.73,0.31,5.35
12:47:52.129094251,98968,6110261,6050756,641209,28623027,12218578,83933,1.472,5703285,1487814,37.09,5.44,0.73,3.04
12:47:54.457037234,2410034,60904815,6364629,671669,29663171,12729355,87709,1.501,5843208,1553697,51.30,4.55,0.39,2.44
12:47:56.673055657,365892,17590008,5824843,570870,46492330,18670256,144912,1.671,8671410,2308241,17.51,9.06,0.25,4.23
12:47:58.865400496,90973,5925542,5936198,618195,46089208,16603193,247301,3.180,7775633,1998469,19.50,7.81,0,4.65
12:48:01.160580510,87641,5889683,5988337,619823,48788490,15937493,202317,2.703,7483558,1920450,23.59,7.47,1.23,4.26
12:48:03.368230169,90182,5792831,7877020,1083386,30587584,12700804,99589,1.692,5884227,1547988,24.51,7.24,0.20,5.11
12:48:05.566142269,97996,6054235,5826221,605215,30214916,12925477,95046,1.591,5972890,1578477,75.40,2.54,0.25,1.59
12:48:07.787052434,227398,7871713,5859062,584533,52149324,19269253,196189,2.258,8687651,2304190,18.40,7.84,0.29,4.57
12:48:10.001132110,79546,5867979,5689123,538303,30745924,12819726,95681,1.607,5952706,1561841,19.18,7.22,0.86,5.37
12:48:12.191533359,90944,5847195,5703885,645682,27583527,12691646,89426,1.553,5758316,1558401,17.02,6.40,1.00,4.89
12:48:14.641845892,1552980,41900176,9991677,1515865,38070749,14300126,125246,1.888,6633300,1746686,24.12,5.63,1.12,5.15
12:48:17.130580945,92829,6173598,5800599,581869,56127033,17426404,244829,2.997,8169949,2091658,59.61,3.62,0,2.21
12:48:19.369706432,87477,5763833,7858431,1045272,30083609,12703009,90468,1.533,5900218,1554400,19.84,7.73,0,4.65
12:48:21.574927813,89883,5908805,10390889,1392197,30160112,12914998,88316,1.488,5936901,1581748,21.07,7.08,1.11,5.01
12:48:23.787303741,227935,7855928,6126004,613932,30894646,12915280,97920,1.635,5987709,1572341,21.02,6.56,0.57,4.04
12:48:26.024581005,88841,5906425,5925858,583224,98188626,46300389,382307,1.957,19531870,5623454,24.71,8.31,0.66,5.01
12:48:28.233038669,92394,5905508,5690842,609023,30056173,12577832,93355,1.592,5863964,1532926,19.29,6.86,0.36,4.13
12:48:30.562566211,94007,5976712,5841121,588872,28469956,12701233,88110,1.517,5807511,1548868,50.14,4.57,0.47,2.76
12:48:32.791843511,91761,5858880,5913397,589890,30034414,12556234,90927,1.553,5855928,1528065,46.52,7.01,0.52,3.95
12:48:35.043508097,92116,5844734,6384970,664049,32208985,13436136,95499,1.543,6190330,1648281,20.31,7.56,0.25,3.71
12:48:37.355863584,87854,5755188,5800311,577980,55318278,17592287,242981,2.920,8321999,2124089,19.31,6.95,0.38,3.78
12:48:39.548648768,90823,5888673,8910007,1136842,29745845,12701589,89111,1.509,5903953,1546461,19.08,6.19,1.72,5.47
12:48:41.756749501,78447,5708442,6792340,790947,30535058,12903105,95879,1.594,6013744,1569447,23.68,7.20,0,4.54
12:48:43.975146954,242128,8501217,6290664,597838,32572876,13441332,99901,1.611,6200903,1645268,22.67,7.62,1.12,4.74
12:48:46.199502710,83287,5827629,6037527,619326,90398580,44438434,377205,2.038,18504417,5343793,22.52,7.00,0.82,4.31
12:48:48.410354261,229884,10430718,6080423,602772,32244159,13377101,100881,1.659,6080850,1639794,13.66,6.44,0.88,4.81
12:48:50.686205285,87166,5848593,5866495,623354,30221496,12893576,90681,1.525,5947439,1577696,35.73,3.11,0.79,1.71
12:48:52.972876932,97246,6014669,6074136,593891,27639771,12254610,84241,1.482,5683436,1492813,20.03,8.54,0.04,3.85
12:48:55.282335811,94303,6065263,6262070,652730,31413838,13116140,107088,1.745,6135335,1595765,19.51,8.94,1.45,4.11
12:48:57.572891292,104245,6112601,5732396,584786,31009390,13032537,99079,1.649,6009754,1593908,17.74,7.95,0.43,5.01
12:48:59.815253830,95394,6026678,8258215,1153138,31762502,13261077,101832,1.674,6082002,1623298,24.29,8.71,0.03,4.09
12:49:02.003008978,241654,8369129,6065703,611386,39867962,15817700,121431,1.679,7231605,1942129,20.58,7.82,0.77,4.13
12:49:04.225165415,229031,8072426,6118566,637167,29551227,12575734,90448,1.531,5908015,1534593,23.43,6.34,0.55,5.96
12:49:06.417564340,86981,5874017,17979350,1962807,31207624,12855006,99215,1.651,6008223,1556990,17.11,6.87,1.72,5.37
12:49:08.675912005,91900,5912196,6611067,665506,30047318,13019098,89006,1.496,5949282,1585812,13.87,7.18,1.47,3.94
12:49:10.977949717,93785,5927413,5888063,579238,28615123,12386479,87127,1.520,5732682,1508794,50.47,4.24,0,2.80
12:49:13.235443061,93189,5940946,5839511,582909,28825239,12350416,83519,1.456,5735716,1510726,6.85,1.11,7.83,0.72
12:49:15.718220825,102635,5985806,8000673,1138920,30684177,12951496,94836,1.598,5935571,1583816,20.04,6.37,0.95,4.61
12:49:18.070096884,91549,5888239,7858761,894121,28439864,12349198,93705,1.631,5745240,1504554,20.21,7.97,0.32,4.24
12:49:20.323875712,238859,7926127,6831102,725287,30580136,12881926,95858,1.606,5966907,1576336,13.59,5.35,0.34,3.49
12:49:22.520199249,97495,6314854,5575595,554366,26641063,12096578,85389,1.523,5606279,1471884,29.88,7.15,0.22,3.99
12:49:24.936862123,84550,5784579,5977338,607576,31836835,13396160,97901,1.596,6135660,1625032,48.95,3.92,2.22,3.18
12:49:27.168217466,99395,6136629,6231148,637488,28947525,12350742,79274,1.381,5739534,1507769,63.47,3.13,0.58,1.98
12:49:29.370440867,93635,6037474,6000525,594065,30488576,12886081,91261,1.532,5956325,1577192,21.37,8.10,0.97,3.84
12:49:31.571089795,96218,6039039,5689831,541062,53550271,17034857,230327,2.876,8007678,2044869,15.33,7.27,0.57,6.05
12:49:33.778917698,89658,5828419,5860073,573814,56902411,18312792,253454,2.962,8556515,2192819,18.46,7.52,1.32,4.56
12:49:36.097675631,87906,5961702,7968814,1060946,82938335,41935135,340119,1.958,17368234,5019505,25.93,7.24,0.55,3.82
12:49:38.329632217,228487,8107209,5890338,577833,33299810,13384876,103583,1.658,6246394,1614257,27.27,6.40,0.19,4.22
12:49:40.539629482,85760,5881170,5814518,547765,34730127,14615549,102218,1.533,6669551,1786051,20.56,6.88,0.44,4.23
12:49:42.750987834,80444,5642118,5892662,596125,30369709,12943765,92447,1.553,5951230,1582670,24.57,8.21,0,3.61
12:49:45.072233616,90675,5964162,5748130,603832,28439634,12422333,76303,1.329,5739364,1524448,53.05,4.85,0,3.16
12:49:47.320803711,101088,6060013,5883154,600134,27952922,12167078,90276,1.595,5660700,1483729,43.84,5.79,0.85,2.90
12:49:49.549124061,96724,6126231,5872275,572994,29610258,12857841,85343,1.445,5907787,1569809,21.00,7.13,0.36,5.32
12:49:51.757407113,83496,5945479,6199532,619935,54732006,17052854,237757,2.938,8092556,2046192,18.76,6.96,0.50,5.14
12:49:53.980127176,90008,6135595,6024512,600826,516296401,128208560,2442047,3.907,62497381,13430335,19.34,7.79,0,4.36
12:49:56.215172231,92567,6029983,8147931,1098125,83071959,41791893,349390,2.020,17294635,5010367,13.77,4.87,0.54,2.77
12:49:58.496206435,350150,11082522,5868301,558307,31766617,13603666,98941,1.589,6225761,1645317,16.61,7.19,1.14,5.67
12:50:00.743445595,91880,5893614,6399676,667584,29442846,12522699,88559,1.519,5830370,1524494,18.25,7.39,0.92,5.16
12:50:02.952072600,91349,5953170,5972178,582219,30691845,12802367,94283,1.579,5971717,1553475,22.00,7.84,1.45,4.01
12:50:05.160828666,92675,5966088,6142544,633854,28369707,12224447,81286,1.419,5727667,1492648,35.52,6.26,0.52,3.79
